dataset,planning_seed,k,planning_mode,P_detect,RMST,NRMST,retention_Pdet,retention_invalid_reason,degradation_NRMST,T,H,T_common,H_common,budget_total,actual_distance_total,budget_utilization,termination_reason,active_fleet,failed_drone_ids,pizza_assignment_hash
1,45,2,dynamic_evidence_3step,0.27456352814735563,7377.709030559983,0.8387572795088658,0.828042383075232,none,0.03250970509188045,8501,8502,8795,8796,120000.0,120010.84577428937,1.0000903814524114,budget_exhausted,3,"[0,1]",none
1,45,2,online_static_3step,0.1725943450349376,7782.211665358347,0.8847443912412855,0.6974045754399567,none,0.04091026615062654,8728,8729,8795,8796,120000.0,120014.49463952566,1.0001207886627137,budget_exhausted,3,"[0,1]",none
1,45,2,pizza_repartition,0.22650180771789255,7587.892767773728,0.8626526566363948,0.7042349001027816,none,0.05957711342576533,8010,8011,8795,8796,120000.0,120012.86124256486,1.0001071770213739,budget_exhausted,3,"[0,1]",cadcad7560eefd70dde3b983fde80032242357c8561891db27f1dadf00c66c58
1,45,3,dynamic_evidence_3step,0.21572726256628771,7701.090565363009,0.8755218923786958,0.6506010386558533,none,0.06927431796171046,8502,8503,8795,8796,80000.0,80001.43441951915,1.0000179302439893,budget_exhausted,2,"[0,1,3]",none
1,45,3,online_static_3step,0.08870530403405766,8130.738817227579,0.9243677600304205,0.35843286109183636,none,0.08053363493976162,8795,8796,8795,8796,80000.0,80007.09966915932,1.0000887458644914,budget_exhausted,2,"[0,1,3]",none
1,45,3,pizza_repartition,0.17193481624997484,7898.825299678783,0.8980019667665738,0.534576299262031,none,0.09492642355594438,8007,8008,8795,8796,80000.0,80002.50573577602,1.0000313216972003,budget_exhausted,2,"[0,1,3]",26ee3553378d22a304040a39c6c4f49214d9745efb74798d4695e6d22284c148
1,47,0,dynamic_evidence_3step,0.3773637803430731,6729.637573264462,0.7757507289065663,1.0,none,0.0,8518,8519,8674,8675,200000.0,200007.84238010593,1.0000392119005297,budget_exhausted,5,[],none
1,47,0,online_static_3step,0.2517237842927139,7196.665602370722,0.8295868129533973,1.0,none,0.0,8632,8633,8674,8675,200000.0,200008.67820161092,1.0000433910080546,budget_exhausted,5,[],none
1,47,0,pizza_repartition,0.3216151613168626,6981.193960290129,0.8047485833187469,1.0,none,0.0,8011,8012,8674,8675,200000.0,200004.037983838,1.00002018991919,budget_exhausted,5,[],1fab15a6b9da3b8b758550f8d4e3533cff416828c946835dd23bd72df7c832b8
1,47,1,dynamic_evidence_3step,0.2903488884312251,7101.848261533846,0.8186568601191754,0.7694137687704419,none,0.04290613121260911,8482,8483,8674,8675,160000.0,160010.7250089313,1.0000670313058206,budget_exhausted,4,[1],none
1,47,1,online_static_3step,0.17522013866162045,7641.551582141297,0.8808704993822821,0.6960809808018295,none,0.05128368642888481,8674,8675,8674,8675,160000.0,160009.510786018,1.0000594424126126,budget_exhausted,4,[1],none
1,47,1,pizza_repartition,0.2780586198190046,7224.610891320881,0.832808171910188,0.8645693775146841,none,0.028059588591441087,8011,8012,8674,8675,160000.0,160018.2874656149,1.000114296660093,budget_exhausted,4,[1],d6f6140d67e8e953e43ac0893f843216455238a267d45761aa0447a394f7be10
